id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,FDF (Falha Desgaste Ferramenta),FDC (Falha Dissipacao Calor),FP (Falha Potencia),FTE (Falha Tensao Excessiva),FA (Falha Aleatoria)
0,L56434,L,298.3,309.1,90.0,1616.0,31.1,195.0,Não,Não,Não,Não,Não,Não
1,L48741,L,298.2,308.4,90.0,1388.0,53.8,137.0,Não,Não,Não,Não,Não,Não
3,M20947,M,300.9,310.8,90.0,1599.0,33.0,7.0,Não,Não,Não,Não,Não,Não
7,L55125,L,300.8,311.7,90.0,1655.0,32.2,12.0,Não,Não,Não,Não,Não,Não
9,L49182,L,298.5,308.2,90.0,1654.0,27.1,13.0,Não,Não,Não,Não,Não,Não
10,L53046,L,301.5,311.1,90.0,1459.0,45.1,97.0,Não,Não,Não,Não,Não,Não
12,L49768,L,299.0,308.7,90.0,1706.0,28.6,206.0,Não,Não,Não,Não,Não,Não
14,L56709,L,299.1,310.3,90.0,1459.0,46.7,84.0,Não,Não,Não,Não,Não,Não
17,L56959,L,298.8,309.8,90.0,1509.0,36.2,57.0,Não,Não,Não,Não,Não,Não
18,L51809,L,303.0,311.2,90.0,1735.0,26.1,194.0,Não,Não,Não,Não,Não,Não
19,L55740,L,298.3,309.0,90.0,1408.0,45.4,98.0,Não,Não,Não,Não,Não,Não
20,L56471,L,298.2,309.0,90.0,1353.0,57.8,89.0,Não,Não,Não,Não,Não,Não
21,H36288,H,300.9,311.3,90.0,1295.0,58.9,77.0,Não,Não,Não,Não,Não,Não
24,L53827,L,301.5,310.5,90.0,1927.0,22.4,149.0,Não,Não,Não,Não,Não,Não
26,L47390,L,298.4,308.7,90.0,1523.0,36.1,126.0,Não,Não,Não,Não,Não,Não
28,L49099,L,298.2,308.0,90.0,1658.0,30.0,3.0,Não,Não,Não,Não,Não,Não
29,L47898,L,297.5,308.8,90.0,1477.0,39.0,127.0,Não,Não,Não,Não,Não,Não
30,L52048,L,303.6,312.4,90.0,1418.0,46.0,128.0,Não,Não,Não,Não,Não,Não
31,L55014,L,300.0,311.4,90.0,1483.0,45.6,187.0,Não,Não,Não,Não,Não,Não
37,L51159,L,302.3,311.3,90.0,1439.0,41.8,96.0,Não,Não,Não,Não,Não,Não
41,L48467,L,298.5,309.6,90.0,1419.0,41.5,105.0,Não,Não,Não,Não,Não,Não
42,H33769,H,302.0,309.8,90.0,1280.0,57.3,147.0,Sim,Não,Sim,Não,Não,Não
46,L56349,L,297.7,308.8,90.0,1896.0,24.5,186.0,Não,Não,Não,Não,Não,Não
47,M17267,M,299.1,308.6,90.0,1499.0,45.1,185.0,Não,Não,Não,Não,Não,Não
49,L52333,L,304.2,313.4,90.0,1644.0,31.7,23.0,Não,Não,Não,Não,Não,Não
50,M23411,M,298.2,309.1,90.0,1457.0,49.0,77.0,Não,Não,Não,Não,Não,Não
51,M19236,M,301.9,309.6,90.0,1551.0,34.6,211.0,Não,Não,Não,Não,Não,Não
52,L56002,L,297.4,308.8,90.0,1462.0,49.7,132.0,Não,Não,Não,Não,Não,Não
