id,pred_binaria,pred_label
35260,0,Sem falha
35261,1,Falha
35262,0,Sem falha
35263,0,Sem falha
35264,0,Sem falha
35265,1,Falha
35266,1,Falha
35267,1,Falha
35268,0,Sem falha
35269,0,Sem falha
35270,0,Sem falha
35271,0,Sem falha
35272,1,Falha
35273,1,Falha
35274,1,Falha
35275,0,Sem falha
35276,1,Falha
35277,0,Sem falha
35278,0,Sem falha
35279,0,Sem falha
35280,0,Sem falha
35281,0,Sem falha
35282,1,Falha
35283,0,Sem falha
35284,1,Falha
35285,0,Sem falha
35286,0,Sem falha
35287,1,Falha
35288,0,Sem falha
35289,0,Sem falha
35290,0,Sem falha
35291,0,Sem falha
35292,1,Falha
35293,0,Sem falha
35294,1,Falha
35295,0,Sem falha
35296,1,Falha
35297,0,Sem falha
35298,1,Falha
35299,1,Falha
35300,0,Sem falha
35301,0,Sem falha
35302,1,Falha
35303,0,Sem falha
35304,0,Sem falha
35305,1,Falha
35306,0,Sem falha
35307,0,Sem falha
35308,0,Sem falha
35309,0,Sem falha
35310,0,Sem falha
35311,0,Sem falha
35312,0,Sem falha
35313,0,Sem falha
35314,0,Sem falha
35315,0,Sem falha
35316,0,Sem falha
35317,1,Falha
35318,0,Sem falha
35319,0,Sem falha
35320,0,Sem falha
35321,0,Sem falha
35322,1,Falha
35323,0,Sem falha
35324,1,Falha
35325,1,Falha
35326,0,Sem falha
35327,0,Sem falha
35328,0,Sem falha
35329,0,Sem falha
35330,1,Falha
35331,0,Sem falha
35332,1,Falha
35333,0,Sem falha
35334,1,Falha
35335,1,Falha
35336,0,Sem falha
35337,0,Sem falha
35338,0,Sem falha
35339,0,Sem falha
35340,0,Sem falha
35341,0,Sem falha
35342,1,Falha
35343,1,Falha
35344,1,Falha
35345,0,Sem falha
35346,0,Sem falha
35347,0,Sem falha
35348,0,Sem falha
35349,0,Sem falha
35350,0,Sem falha
35351,0,Sem falha
35352,0,Sem falha
35353,0,Sem falha
35354,0,Sem falha
35355,1,Falha
35356,0,Sem falha
35357,0,Sem falha
35358,0,Sem falha
35359,0,Sem falha
35360,0,Sem falha
35361,1,Falha
35362,0,Sem falha
35363,0,Sem falha
35364,1,Falha
35365,1,Falha
35366,0,Sem falha
35367,0,Sem falha
35368,0,Sem falha
35369,0,Sem falha
35370,0,Sem falha
35371,1,Falha
35372,1,Falha
35373,1,Falha
35374,0,Sem falha
35375,0,Sem falha
35376,0,Sem falha
35377,0,Sem falha
35378,0,Sem falha
35379,1,Falha
35380,0,Sem falha
35381,1,Falha
35382,0,Sem falha
35383,0,Sem falha
35384,1,Falha
35385,1,Falha
35386,0,Sem falha
35387,1,Falha
